Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Handedness,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
636532fd6dd5bd5c2d1ccb4a,5dd29e4e2274972a5d4ada96,APPROVED,2022-11-04T15:43:05.908000Z,2022-11-04T15:50:35.081000Z,2022-11-04T19:58:03.005000,2022-11-04T15:50:35.734868Z,450,CZELI6JD,1086,Right-handed,English,24,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6365348808059ecf142d8454,63616c4bc6ecb76a9f0a5f21,APPROVED,2022-11-04T15:49:45.086000Z,2022-11-04T16:02:29.023000Z,2022-11-04T19:57:51.653000,2022-11-04T16:02:29.356364Z,764,CZELI6JD,0,Right-handed,English,20,Male,White,United States,United States,United States,English,Yes,Part-Time
6365367fa894dedf64f72820,5dee933631a7e05381da6b02,APPROVED,2022-11-04T15:57:53.759000Z,2022-11-04T16:08:08.381000Z,2022-11-04T19:57:53.308000,2022-11-04T16:08:08.812288Z,615,CZELI6JD,243,Right-handed,English,33,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
636539981cfc8f6b36e31cce,631b593a9bb21bb86ea260a7,APPROVED,2022-11-04T16:11:06.262000Z,2022-11-04T16:25:20.018000Z,2022-11-04T19:57:54.922000,2022-11-04T16:25:21.376400Z,854,CZELI6JD,269,Right-handed,"English, Spanish",24,Male,White,United States,United States,United States,Spanish,No,Full-Time
63653a95df94282c8bf18dde,5e5731e3e1e8b90e25c1f3a2,APPROVED,2022-11-04T16:15:21.065000Z,2022-11-04T16:53:30.012000Z,2022-11-04T19:57:56.109000,2022-11-04T16:53:30.630602Z,2289,CZELI6JD,1350,Right-handed,"English, Spanish",40,Male,White,United States,United States,United States,English,No,Full-Time
63653aee20ba25b9e1999fa1,5fe0d610dd8cf1a331961cbe,APPROVED,2022-11-04T16:23:41.498000Z,2022-11-04T16:47:41.227000Z,2022-11-04T19:57:58.823000,2022-11-04T16:47:41.574995Z,1440,CZELI6JD,1011,Right-handed,English,38,Female,White,United States,United States,United States,English,No,Part-Time
63653c66080718a4c9cbc802,62b9cf42a63194f71fc0a393,APPROVED,2022-11-04T16:23:08.308000Z,2022-11-04T16:38:57.580000Z,2022-11-04T19:57:57.300000,2022-11-04T16:38:58.034525Z,950,NOCODE,103,Right-handed,English,23,Female,Other,United States,United States,United States,English,No,DATA_EXPIRED
63653c831cfc8f6b36e31d33,630ab689392291ba70d7fd3d,APPROVED,2022-11-04T16:23:49.516000Z,2022-11-04T16:39:48.553000Z,2022-11-04T19:58:00.320000,2022-11-04T16:39:49.004812Z,960,CZELI6JD,168,Right-handed,English,21,Male,White,United States,United States,United States,English,No,Part-Time
63653d7384ed7208c4843df7,612d20ea1043719545f90f62,APPROVED,2022-11-04T16:27:34.833000Z,2022-11-04T16:40:56.712000Z,2022-11-04T19:58:04.684000,2022-11-04T16:40:57.128893Z,802,CZELI6JD,738,Right-handed,"English, Chinese",36,Male,Asian,Taiwan,United States,United States,Mandarin,DATA_EXPIRED,DATA_EXPIRED
6365402506c428dc4c936bbd,59a07638bfd73c00010ea394,APPROVED,2022-11-04T16:39:06.712000Z,2022-11-04T16:48:51.556000Z,2022-11-04T19:58:06.235000,2022-11-04T16:48:51.971996Z,585,CZELI6JD,1554,Right-handed,English,23,Male,Black,United States,United States,United States,English,Yes,Full-Time
